wallet_id,score
0x02aba2d7e12c8eb700d8ff34fce856ce84729fce,469
0x057b8c8024114bdd548d2307ea05358712c54798,1000
0x09931927b32a71660cb84495284c242b145db893,94
0x0b941f9cd795bbbd3f1158e3bad540098e2ed9a4,173
0x0f3555bffb2bb7e735250b1177daef0590348041,393
0x1009b42b10a7460b7cf3edcb5774e6cb432e1c63,701
0x14d8b4d294383f806f14f811224cab7416caa6d1,658
0x1508ffec368e46c45f47895715dea0ddb391aa53,477
0x15bb3e88863f29444b994e27f090c6fc17ba2f23,296
0x1fe86a876397c7f2dad81504cdfbe11fe6524d4d,321
0x20ad31b606800b7aafed51636eb1fcaaf677fb50,854
0x20d5d1def6b6c3ecc948dee86e8ef424e4f8ca3f,275
0x2971770d7f5d439cd3929467e7a73fedb44a6e59,132
0x29cd55a8b7ab9751a0780c9d295ff866dbb20707,219
0x2a3d4e0781779c35f9b2cb8508d8635633703363,607
0x35e5d683053c22685a0d448e0fdeb1be3ee53046,350
0x3659a85bfdad37b2a06ab8ce570217fcd76ebafb,423
0x37a9bc0fa169f3707f66a1fe8c06a88127e18a1c,207
0x397807288f2c269a88b2217121e84822b63b65e6,521
0x398292dbac9bfa771f708e42d4ce201178f2043b,559
0x3b68a1b916be3bb08f139abed7cb07f3c876d09a,335
0x3b701c3f989fbd07787bfb7544d9cc54987a4783,702
0x3d51cc8358e6b8eea1a8bd6cbb40fa50b69e658e,310
0x3fefa9eac7a01f081d97c5ef92bf704d3e8f67ec,578
0x46348f1ee25720dad3cb4450b3bbb963456bdd68,579
0x4af8787db39f030729a407fabfaf1a53e781875f,1000
0x4cbe48cd8a03f86ad8fa647d014281b04ea84565,294
0x4d8f7a62e30ae5bc9dcb8c27248850109bfa9f4d,229
0x4f013ac233e4ca6f3518b12bc39b387c9c05ef80,681
0x50f3e07ad1ea2ac87275fd2dabc249b1aebd5a6b,325
0x54ad47fe715da7b9ea9feda09a6c6e0c5233d7db,139
0x5900c783eb2918233ea7de71a7aa0320bb9eca7f,283
0x5b6a0e1355147198ac2a80ba3a55d1266691246c,223
0x5c246d50bdba89e03174e35e0bfcb98ff8f0597e,547
0x5eaf28307526d7d5e2ff0894874be0ae563a6f87,197
0x648150d58c8c5637b2e4f3bcfb4e67cfb02af0f0,186
0x66703842230c5694ea30d1b7b65513fddceb5ed8,682
0x68668cb5f0863fca83dc47d5db7b22b5807ce655,527
0x688873652a480a7dbdaf0972acd9e0e1f2776bfc,390
0x6b3722c04dcfff780455f74067840fa7cd49ff41,615
0x6f4ff61cc6891fd410c2bb823440a0b2c835f9f0,458
0x732bc19b3d70dadc52892495897acf5efbb42d66,671
0x74365530c45c7218f5a0f87d84d97a42a0eaee35,482
0x7679bf59bbc6b711dfb551c0513849ef7417be64,496
0x78b1ec99cf81ebb7a9c6b011b5b532b97493dae6,405
0x7c4ba76adf31e9ed69df3bba1e74d7fc1fd67e17,426
0x7d96ca126d0697d55c11f6062736f46f9a986535,749
0x80ce5823afa06387c7023e24160e7752b1bb5eac,562
0x826807e3d7c40c903f10cfbbc23ca54bc3865bbe,118
0x8469c50353a49ae818f51c486fabf886eb714cf7,781
0x862b80e8bed4eb433e288774bac224d856a9d8b2,405
0x86760770201625b9a10001a2f720b4019f203409,659
0x86bbb3241377ebdf1c4855db866cd00a216cc772,280
0x873dbbbc30a1893b299f0cc2548e59a31fa57413,263
